Feature,Coefficient
cat__Store_Dept_15_28,-207.9506243323685
cat__Store_Dept_15_29,-794.8155656936498
cat__Store_Dept_15_3,-1436.3956970518436
cat__Store_Dept_15_30,-955.6617130530063
cat__Store_Dept_15_31,-84.3357297403969
cat__Store_Dept_15_32,-1425.160514741915
cat__Store_Dept_15_33,-1381.3415848273826
cat__Store_Dept_15_34,243.50717170449053
cat__Store_Dept_15_35,-426.7712370232661
cat__Store_Dept_15_36,-885.2199128309486
cat__Store_Dept_15_37,-3481.598850546075
cat__Store_Dept_15_38,-7283.332742130639
cat__Store_Dept_15_4,-12624.525238516046
cat__Store_Dept_15_40,-13362.8247988173
cat__Store_Dept_15_41,-868.3884746463817
cat__Store_Dept_15_42,-1801.3544570558565
cat__Store_Dept_15_43,-1888.4767169730324
cat__Store_Dept_15_44,-791.3675551558913
cat__Store_Dept_15_45,-332.47074925064396
cat__Store_Dept_15_46,-7437.39194731961
cat__Store_Dept_15_47,-296.49391204545503
cat__Store_Dept_15_48,-1496.852402503184
cat__Store_Dept_15_49,3700.902196864333
cat__Store_Dept_15_5,-4407.843967963577
cat__Store_Dept_15_50,-632.819529407503
cat__Store_Dept_15_51,-351.7031863502695
cat__Store_Dept_15_52,-563.6369420259163
cat__Store_Dept_15_54,-394.7349255086014
cat__Store_Dept_15_55,-2794.64869666844
cat__Store_Dept_15_56,-22.64142994552293
cat__Store_Dept_15_58,-2869.3603597397855
cat__Store_Dept_15_59,-602.2339125549073
cat__Store_Dept_15_6,-285.9075366575367
cat__Store_Dept_15_60,-541.4809729305116
cat__Store_Dept_15_67,-1332.7826553343277
cat__Store_Dept_15_7,-1549.6965958398716
cat__Store_Dept_15_71,-725.1960051812812
cat__Store_Dept_15_72,-4713.771893654052
cat__Store_Dept_15_74,195.54572854958099
cat__Store_Dept_15_77,-478.73223805754026
cat__Store_Dept_15_78,-351.86577952416826
cat__Store_Dept_15_79,-13411.107969204511
cat__Store_Dept_15_8,-9370.675198033105
cat__Store_Dept_15_80,-11183.868174267056
cat__Store_Dept_15_81,-11011.118254957164
cat__Store_Dept_15_82,-4770.282362359944
cat__Store_Dept_15_83,-3134.0418458176027
cat__Store_Dept_15_85,800.2140975217554
cat__Store_Dept_15_87,-4118.3754876121075
cat__Store_Dept_15_9,-3694.2787070474624
cat__Store_Dept_15_90,-39092.01070430358
cat__Store_Dept_15_91,-29838.038863476686
cat__Store_Dept_15_92,-55391.818685725775
cat__Store_Dept_15_93,-25272.2589051326
cat__Store_Dept_15_94,-28958.941523701757
cat__Store_Dept_15_95,-41247.52717511742
cat__Store_Dept_15_96,-9142.545546056619
cat__Store_Dept_15_97,-11787.482710830414
cat__Store_Dept_15_98,-6072.6860432139665
cat__Store_Dept_15_99,-342.24468882690695
cat__Store_Dept_16_1,-7647.588897594683
cat__Store_Dept_16_10,-5547.666951076523
cat__Store_Dept_16_11,-2638.6778716118156
cat__Store_Dept_16_12,-245.14164521595384
cat__Store_Dept_16_13,-15171.410606546506
cat__Store_Dept_16_14,-6206.069061815906
cat__Store_Dept_16_16,-4594.534098923565
cat__Store_Dept_16_17,-3081.2674132117286
cat__Store_Dept_16_18,-5018.616162540609
cat__Store_Dept_16_19,-625.109174270203
cat__Store_Dept_16_2,-19322.514006733847
cat__Store_Dept_16_20,-2029.2954251278984
cat__Store_Dept_16_21,-1533.3209738402916
cat__Store_Dept_16_22,-2958.5467318787246
cat__Store_Dept_16_23,-10166.124960209774
cat__Store_Dept_16_24,-3431.488820111726
cat__Store_Dept_16_25,-4046.6871261471997
cat__Store_Dept_16_26,-4897.940231585403
cat__Store_Dept_16_27,-942.7774086207985
cat__Store_Dept_16_28,-615.0447723225029
cat__Store_Dept_16_29,-3891.9656124672088
cat__Store_Dept_16_3,-4206.348127475623
cat__Store_Dept_16_30,-3064.4761626777226
cat__Store_Dept_16_31,-1251.1271512785042
cat__Store_Dept_16_32,-2005.2421848571119
cat__Store_Dept_16_33,-3414.0083957920237
cat__Store_Dept_16_34,-8762.07324922188
cat__Store_Dept_16_35,-2450.948186870553
cat__Store_Dept_16_36,-402.75627517812995
cat__Store_Dept_16_38,-7630.595269267337
cat__Store_Dept_16_4,-10928.629461756651
cat__Store_Dept_16_40,-12290.009405766865
cat__Store_Dept_16_41,-415.1807207741342
cat__Store_Dept_16_42,-1668.9900163022396
cat__Store_Dept_16_44,-280.03558970103256
