feature,coefficient,importance,relative_importance
Store_41 Dept_44,-946.8847502315007,946.8847502315007,4.180452471467746e-05
Store_44 Dept_96,946.8547332835532,946.8547332835532,4.1803199480279055e-05
Store_40 Dept_41,941.2546641428904,941.2546641428904,4.155595901227331e-05
Store_34 Dept_83,938.9625077727654,938.9625077727654,4.1454761366412645e-05
Store_22 Dept_6,935.3393977634194,935.3393977634194,4.1294802731644605e-05
Store_40 Dept_28,935.3117266654034,935.3117266654034,4.129358106543802e-05
Store_20 Dept_82,-933.1033134019832,933.1033134019832,4.119608063908909e-05
Store_8 Dept_60,932.3571550887428,932.3571550887428,4.116313809392793e-05
Store_34 Dept_99,-930.8748435930106,930.8748435930106,4.1097694725510555e-05
Store_6 Dept_2,-929.3964240326816,929.3964240326816,4.103242318424503e-05
Store_13 Dept_14,-928.0384338026852,928.0384338026852,4.097246854233291e-05
Store_1 Dept_12,-925.9738458649925,925.9738458649925,4.088131793773631e-05
Store_36 Dept_23,-924.8478295187177,924.8478295187177,4.083160483572948e-05
Store_24 Dept_82,-924.4344255360813,924.4344255360813,4.081335324069107e-05
Store_23 Dept_20,922.4420678549607,922.4420678549607,4.072539156858628e-05
Store_20 Dept_78,-918.8440048222695,918.8440048222695,4.056653874627783e-05
Store_26 Dept_83,916.842511407562,916.842511407562,4.047817373575153e-05
Store_34 Dept_91,916.8262008049797,916.8262008049797,4.047745363017522e-05
Store_25 Dept_11,916.4737255668368,916.4737255668368,4.046189201108625e-05
Store_31 Dept_47,-914.6418952258686,914.6418952258686,4.038101754696231e-05
Store_42 Dept_67,912.3055525982876,912.3055525982876,4.027786909822788e-05
Store_13 Dept_47,-905.9932113266051,905.9932113266051,3.9999182144366804e-05
Store_41 Dept_51,-901.6668982123903,901.6668982123903,3.980817741706244e-05
Store_8 Dept_49,-897.5974234093545,897.5974234093545,3.962851198266013e-05
Store_40 Dept_33,-897.5100001703707,897.5100001703707,3.9624652287006735e-05
Store_6 Dept_4,897.274510220734,897.274510220734,3.961425551441404e-05
Store_41 Dept_14,-897.2063993560699,897.2063993560699,3.9611248451173776e-05
Store_23 Dept_78,-896.1055377706429,896.1055377706429,3.956264592024889e-05
Store_10 Dept_25,-893.9068329993538,893.9068329993538,3.9465574119346874e-05
Store_24 Dept_67,-893.4128166565899,893.4128166565899,3.944376352581321e-05
Store_28 Dept_82,891.4011229508698,891.4011229508698,3.935494817714635e-05
Store_21 Dept_51,891.2677984914884,891.2677984914884,3.934906196379682e-05
Store_36 Dept_18,890.2318775761613,890.2318775761613,3.930332653348531e-05
Store_6 Dept_97,-887.1745024393229,887.1745024393229,3.916834483223946e-05
